study_id,citation_key,title,publication_year,doi_or_persistent_id,source_type,peer_reviewed,country_iso3,population_description,sample_size,age_min,age_max,study_design,domain_primary,domains_secondary,exposure_or_intervention,comparator,outcomes,setting,play_format,skill_level,data_sources,analysis_type,preregistered,open_data,open_code,funding_reported,conflict_of_interest_reported,inclusion_status,exclusion_reason,coder_id,coding_date,verification_status,notes
PBR-0011,stroesser2024,Pickleball Participation and the Health and Well-Being of Adults-A Scoping Review,2024,10.1123/jpah.2024-0092,review,yes,MULTI,Studies of healthy able-bodied adult pickleball participants aged 18+,27,18,NR,scoping_review,physical_health_fitness,psychology_wellbeing|social_connection|injury_safety|aging_physical_function,Pickleball participation,NA,positive and negative health effects; social and psychological effects; health and fitness; injuries,mixed,NR,mixed,published_literature,descriptive synthesis; thematic analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,27 articles included; useful anchor review for backwards citation chasing.
PBR-0012,kingston2024,Emerging Patterns of Foot and Ankle Injuries in Pickleball Players: A Short Report,2024,10.1177/10711007241271215,journal_article,yes,NR,Patients treated in a foot and ankle clinic for pickleball-related injuries,198,NR,NR,retrospective_cohort,injury_safety,aging_physical_function,Pickleball participation,NA,diagnosis; mechanism; treatment; injury trend,specialty_clinic,NR,mixed,electronic_medical_records,descriptive; incidence trend,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Mean age 58.3 years; data-collection country not explicit in indexed abstract.
PBR-0013,myers2024,"Hip Strength, Change of Direction, and Falls in Recreational Pickleball Players",2024,10.26603/001c.122490,journal_article,yes,NR,Recreational pickleball players assessed for fall history and physical performance,92,NR,NR,cross_sectional,injury_safety,aging_physical_function|biomechanics_performance,Recreational pickleball participation,Fall history groups,fall history; hip abduction strength; single-leg squat; ankle dorsiflexion; pickleball T-test,court,NR,recreational,questionnaire|physical_tests,group comparison; correlations,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,42% reported a fall; country not explicit in indexed abstract.
PBR-0014,firouzbakht2024,Quite a Pickle: A 10-Year Increase in Pickleball-Related Hand Injuries,2024,10.1177/15589447241238371,journal_article,yes,USA,U.S. emergency department wrist hand and finger injuries associated with pickleball,NR,NR,NR,surveillance,injury_safety,aging_physical_function,Pickleball participation,Tennis-related hand injuries,injury count; body region; diagnosis; mechanism; trend,emergency_department,NR,recreational,NEISS,weighted descriptive; trend comparison,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,"Abstract reports estimated 12,021 pickleball injuries, not unweighted sample size."
PBR-0015,owoeye2025,"Understanding Injury Patterns and Predictors in Pickleball Players: A Nationwide Study of 1,758 Participants",2025,10.1186/s40798-025-00900-2,journal_article,yes,USA,Adult U.S. pickleball players who played at least monthly,1758,18,NR,cross_sectional,injury_safety,participation_behavior,Pickleball participation and playing behaviors,Injured versus non-injured participants,12-month all-complaint injury prevalence; time-loss injury; non-time-loss injury; predictors,national_survey,NR,mixed,questionnaire,descriptive; multivariable logistic regression,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Mean age 62.7 years; pre-validated survey reported in abstract.
PBR-0016,jeong2025,Injury risk and epidemiology of pickleball players in South Korea: a cross-sectional study,2025,10.3389/fpubh.2025.1617291,journal_article,yes,KOR,Recreational pickleball players surveyed at the 1st HEAD Korea Open Pickleball Championship,232,NR,NR,cross_sectional,injury_safety,participation_behavior,Recreational pickleball participation and playing habits,Injured versus non-injured participants,12-month injury prevalence; body region; injury type; risk predictors,tournament,NR,recreational,questionnaire,descriptive; logistic regression,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Mean age 50.5 years; 34.2% reported at least one injury.
PBR-0017,herzberg2025,Evaluation of Pickleball-Related Injuries at a Single Institution From 2017 to 2022,2025,10.1177/23259671251316997,journal_article,yes,NR,Patients with pickleball-related injuries identified in a single health system,487,12,82,case_series,injury_safety,aging_physical_function,Pickleball participation,NA,injury pattern; diagnosis; body region; health care utilization; age/sex differences,health_system,NR,mixed,electronic_health_records,descriptive; subgroup comparison,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,487 patients and 618 injuries; data-collection country not explicit in indexed abstract.
PBR-0018,yu2025,Increasing Incidence of Pickleball Injuries Presenting to US Emergency Departments: A 10-year Epidemiologic Analysis of Mechanisms and Trends,2025,10.1177/23259671241305364,journal_article,yes,USA,"U.S. emergency department pickleball injury cases, 2013-2022",1110,4,93,surveillance,injury_safety,aging_physical_function,Pickleball participation,Age-group comparisons,injury trends; mechanism; diagnosis; body site,emergency_department,NR,recreational,NEISS,weighted descriptive; linear regression,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,"1,110 NEISS cases represented 66,350 nationally estimated injuries."
PBR-0019,edriss2025,Pose estimation for pickleball players’ kinematic analysis through MediaPipe-based deep learning: A pilot study,2025,10.1080/02640414.2025.2524283,journal_article,yes,NR,Male pickleball players spanning high-level and beginner groups,14,NR,NR,biomechanical_lab,technology_ai,biomechanics_performance,Dink-shot task recorded by GoPro and analyzed using MediaPipe-based deep learning,High-level versus beginner players,femur angle; knee angle; wrist motion,court_or_lab,NR,mixed_skill,video|pose_estimation,t-tests; one-way ANOVA,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Mean age 46.5 years; country not explicit in indexed abstract.
PBR-0020,zarei2025,Comparison of Metabolic and Pulmonary Variables Between Real-Life and Mixed Reality Pickleball,2025,10.3390/jfmk10030346,journal_article,yes,NR,Adult participants completing real-life and mixed-reality pickleball conditions,11,18,NR,quasi_experimental,physical_health_fitness,technology_ai,5-minute real-life pickleball and 5-minute mixed-reality pickleball,Real-life versus mixed reality within participants,heart rate; ventilation; tidal volume; respiratory frequency; RER; energy expenditure; VO2,mixed_reality_and_court,NR,NR,portable_metabolic_unit|heart_rate_monitor|VR_headset,paired t-tests; effect sizes,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Country not explicit in indexed abstract.
PBR-0021,parker2025,Feasibility Acceptability and Outcomes of Project Rally: Pilot Study of a YMCA-Based Pickleball Program for Cancer Survivors,2025,10.3390/healthcare13030256,journal_article,yes,NR,Adult cancer survivors and family/friend partners enrolled in a YMCA-based pickleball program,28,18,NR,quasi_experimental,physical_health_fitness,social_connection|participation_behavior,"Project Rally community pickleball program, targeted duration 3-7 months",Single-arm pre-post pilot,feasibility; acceptability; physical activity; fitness; physical function; social support,YMCA_community,NR,beginner_or_mixed,questionnaire|physical_tests|program_records,feasibility metrics; pre-post outcomes,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,21 cancer survivors plus 7 partners enrolled; data-collection country not explicit in indexed abstract.
PBR-0022,sheikhbahaie2025,The Effect of 8 Weeks of Pickleball Program on Balance Spatiotemporal Gait Parameters and Psychosocial Factors in Older Adult Women: A Single-Blinded Randomized Controlled Trial,2025,10.1123/japa.2025-0100,journal_article,yes,NR,Women aged 60-75 years,36,60,75,randomized_trial,aging_physical_function,social_connection|physical_health_fitness,8-week supervised pickleball training three times per week,Routine-activity control group,balance; stride length; gait velocity; cadence; double-support duration; social capital,supervised_program,NR,NR,physical_tests|motion_capture|questionnaire,between-group intervention analysis; effect sizes,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,20 intervention and 16 control participants; country not explicit in indexed abstract.
PBR-0023,chien2025,Effects of Pickleball Intervention on the Self-Esteem and Symptoms of Patients with Schizophrenia,2025,10.3390/sports13010021,journal_article,yes,NR,Patients with schizophrenia from a long-term care facility and regional hospital,30,NR,NR,quasi_experimental,psychology_wellbeing,physical_health_fitness,"9-week pickleball exercise intervention, 3 sessions/week, 90 minutes/session",Institution-based control group,Rosenberg Self-Esteem Scale; BSRS-5; Dink test performance,clinical_institution,NR,beginner_or_NR,questionnaire|performance_test,pre-post between-group analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Groups were divided by institution in abstract; coded quasi-experimental rather than randomized.
PBR-0024,kurth2025,Association of Pickleball Participation With Decreased Perceived Loneliness and Social Isolation: Results of a National Survey,2025,10.1177/21501319251385855,journal_article,yes,USA,U.S. adults aged over 50 years,825,50,NR,cross_sectional,social_connection,psychology_wellbeing|participation_behavior,"Pickleball play history: never, previous, current",Never versus previous versus current players,loneliness; social isolation; social connections; social engagements,national_survey,NR,mixed,questionnaire,multivariable association analysis,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Cross-sectional association; does not establish causal effect of pickleball participation.
PBR-0025,hanks2025,Risk of Upper Extremity Injury in Recreational Pickleball Players,2025,10.3390/jfmk10030247,journal_article,yes,NR,Adult recreational pickleball players with at least six months of play,253,18,NR,cross_sectional,injury_safety,participation_behavior|biomechanics_performance,"Pickleball playing volume, grip tightness, stretching and strengthening behavior",Player characteristic and exposure subgroups,upper extremity injury; acute injury; chronic injury,community,NR,recreational,questionnaire,chi-square; relative risk,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Country not explicit in indexed abstract.
PBR-0026,lacher2025,Pickleball-Related Ocular Injuries Among Patients Presenting to Emergency Departments,2025,10.1001/jamaophthalmol.2025.3577,journal_article,yes,USA,"U.S. emergency department cases of pickleball-related ocular injury, 2005-2024",73,NR,NR,surveillance,injury_safety,aging_physical_function,Pickleball participation,Age-group comparisons,ocular injury incidence; injury type; mechanism; age; sex; laterality,emergency_department,NR,recreational,NEISS,survey-weighted descriptive; linear regression,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,"73 unweighted cases represented an estimated 3,112 ocular injuries."
PBR-0027,coppa2025,Pediatric pickleball injuries: A multi-center database analysis of emergency department visits,2025,10.1016/j.ajem.2025.07.052,journal_article,yes,USA,"Pediatric U.S. emergency department pickleball injury cases, 2014-2024",NR,0,17,surveillance,injury_safety,aging_physical_function,Pickleball participation,Age-subgroup comparisons,injury type; body region; mechanism; hospitalization,emergency_department,NR,pediatric,NEISS,weighted descriptive; logistic regression,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Abstract reports estimated national injuries but not unweighted analytic case count.
PBR-0028,henick2026,Pickleball Players' Reported Use of Protective Eyewear,2026,10.1001/jamaophthalmol.2026.0027,journal_article,yes,USA,Professional tournament players and amateur pickleball players in California and Connecticut,323,14,70,cross_sectional,injury_safety,participation_behavior,Regular professional or amateur pickleball participation,Professional versus amateur players,protective eyewear use; type of eyewear; motivations for and against use,tournament_and_community,NR,mixed_skill,video_review|questionnaire,descriptive; chi-square,unknown,unknown,unknown,unknown,unknown,included,NA,AI_ASSISTED_SEED,2026-08-18,single_coded,Two samples: 175 professionals observed and 148 amateurs surveyed; survey instrument was not previously validated.
